sex,bs,n_breed,divorce,age,breed_exp,boldness,mate_boldness,year,last_bs
F,1,2,0,19,6,1.05035,1.863779,2011,1
M,0.833333333,6,0,17,6,2.895716,2.038573,2009,1
F,0.833333333,6,0,19,6,0.8943436,1.046936,2011,1
M,0,1,0,11,2,0.1097958,NA,2003,0
M,1,5,0,18,6,0.1097958,1.32351,2010,1
M,1,6,0,18,6,1.524074,1.014402,2010,1
M,0.833333333,6,0,19,6,1.046936,0.8943436,2011,1
F,0.333333333,3,0,14,3,NA,0.5198069,2006,0
M,1,1,0,13,2,0.1097958,NA,2005,1
M,1,1,0,16,3,0.1097958,NA,2008,1
M,1,2,0,15,3,2.470046,NA,2007,1
M,0.666666667,3,0,18,5,2.470046,1.585466,2010,1
M,0.666666667,3,0,14,3,NA,NA,2006,1
M,0.6,5,0,19,5,0.7815171,1.720046,2011,1
M,0.5,2,0,12,2,NA,NA,2004,1
F,1,2,0,11,2,NA,NA,2003,1
M,1,4,1,18,5,0.347735,2.718764,2010,1
M,1,6,0,19,6,3.519807,3.519807,2011,1
M,1,5,0,19,5,1.443985,0.1097958,2011,1
F,0.5,4,0,13,4,NA,NA,2005,1
M,0.666666667,3,0,16,3,3.109796,NA,2008,1
M,1,1,0,15,2,3.212249,NA,2008,1
M,1,1,0,18,2,3.212249,2.798154,2011,1
M,1,2,0,11,2,NA,1.362309,2004,1
F,0.5,2,0,10,2,NA,1.513279,2003,0
M,1,1,0,12,2,NA,NA,2005,1
M,0,1,0,18,2,NA,3.250362,2011,0
M,1,3,1,15,4,1.948773,1.585466,2008,1
M,1,2,0,17,5,1.948773,2.872246,2010,1
M,0,1,1,9,2,NA,NA,2002,0
M,1,4,0,15,5,NA,2.298154,2008,1
M,0.5,2,0,13,3,1.513279,NA,2006,0
M,1,3,0,17,5,1.513279,2.147859,2010,1
M,1,3,0,15,3,NA,NA,2008,1
M,1,4,0,18,4,3.362309,NA,2011,1
M,1,5,0,18,5,NA,0.8177387,2011,1
M,0.75,4,1,16,5,NA,NA,2009,0
M,1,3,0,14,4,3.144375,NA,2007,1
M,1,2,0,18,5,3.144375,3.392611,2011,1
F,1,2,0,14,3,1.362309,NA,2007,1
F,1,3,0,18,5,1.362309,0.7981536,2011,1
F,1,3,0,11,3,NA,3.144375,2004,1
M,1,5,0,17,5,5.423472,1.224748,2010,1
M,1,1,0,18,2,NA,NA,2011,1
F,1,4,0,17,4,3.171893,0.4070109,2010,1
M,1,4,0,18,5,3.519807,1.519807,2011,1
M,0.5,2,0,11,2,NA,1.648117,2004,0
M,0.5,6,0,18,6,0.4048138,0.9085905,2011,1
F,0.5,2,0,8,2,NA,NA,2001,1
M,1,1,1,11,2,0.4502542,1.648117,2004,1
M,1,3,0,16,4,0.4502542,2.948773,2009,1
M,1,2,0,11,2,NA,NA,2004,1
F,1,3,0,14,4,0.4502542,NA,2007,1
F,0.666666667,3,0,17,6,0.4502542,0.038892,2010,1
M,0.333333333,3,0,18,3,0.1910796,1.232309,2011,0
M,0.666666667,4,0,18,4,0.8781568,NA,2011,NA
M,1,2,0,13,3,2.024074,NA,2006,1
M,1,3,0,17,5,2.024074,1.115781,2010,1
F,0.666666667,6,0,18,6,3.2277,1.648117,2011,1
M,1,3,0,16,4,0.6847249,NA,2009,1
F,1,3,0,13,3,NA,0.6847249,2006,1
M,1,1,0,11,2,1.879837,NA,2004,1
M,0.4,5,0,18,6,1.879837,0.5414841,2011,1
F,1,2,0,11,2,NA,2.470046,2004,1
M,1,4,0,17,4,-0.05122678,1.347735,2010,1
F,1,2,0,10,2,NA,0.8943436,2003,1
F,1,3,0,16,4,0.4366901,NA,2009,1
F,1,2,0,18,5,0.4366901,0.8943436,2011,1
F,0.666666667,6,0,17,6,0.6810683,1.493024,2010,1
F,0.8,5,0,17,5,NA,NA,2010,1
F,0.8,5,1,18,6,3.567314,1.313584,2011,1
M,1,2,0,11,2,NA,NA,2004,1
F,1,3,0,13,3,NA,NA,2006,1
F,0,1,0,11,2,2.448773,NA,2004,0
F,1,4,0,17,5,2.448773,-0.05122678,2010,1
F,1,2,1,14,3,NA,1.147859,2007,1
F,0.666666667,3,0,16,5,NA,0.1097958,2009,1
F,0.5,2,0,13,3,0.9487732,NA,2006,0
F,1,3,0,17,5,0.9487732,1.681068,2010,1
F,1,4,0,15,4,NA,2.413536,2008,1
F,0.75,4,0,15,4,4.519807,1.913536,2008,0
M,0.5,2,0,15,3,0.788892,NA,2008,1
M,1,2,0,17,4,0.788892,0.1169208,2010,1
M,0,2,0,12,3,1.610002,NA,2005,0
M,1,4,0,18,6,1.610002,1.17567,2011,1
M,1,1,0,14,2,0.542505,NA,2007,1
M,1,3,0,18,4,0.542505,0.9662814,2011,1
F,0.8,5,0,18,5,2.768348,1.168348,2011,1
M,1,2,0,17,2,0.4965845,1.347735,2010,1
F,1,6,0,18,6,3.519807,3.519807,2011,1
M,0.666666667,3,0,18,4,2.348163,NA,2011,1
F,1,6,0,17,6,2.014402,1.038892,2010,1
M,0.8,5,1,18,6,1.313584,3.567314,2011,1
F,1,4,0,16,4,NA,NA,2009,1
M,1,3,0,13,3,NA,NA,2006,1
F,1,4,0,15,4,1.519807,3.519807,2008,1
M,0.8,5,0,17,5,0.8605088,NA,2010,1
M,0.75,4,0,16,4,2.5,NA,2011,1
F,0.75,4,0,16,4,1.653779,0.090168,2011,0
M,0.75,4,0,16,4,0.090168,1.653779,2011,0
F,0,1,0,11,2,3.362309,NA,2007,0
F,1,1,1,15,3,3.362309,1.014402,2011,1
M,1,3,0,15,3,0.5198069,2.529282,2011,1
F,1,4,0,14,4,NA,3.296936,2010,1
F,1,3,0,14,3,3.147859,0.347735,2010,1
M,1,3,0,15,3,1.644375,2.713582,2011,1
M,1,2,0,14,2,3.450254,3.046927,2010,1
F,1,3,0,15,3,2.840942,4.190668,2011,1
F,1,3,0,15,3,2.798154,1.99566,2011,1
F,0.666666667,3,0,12,3,NA,3.109796,2008,1
M,0.5,2,0,14,2,0.5,NA,2010,1
M,1,3,0,15,3,0.7981536,1.362309,2011,1
M,1,1,1,14,2,2.235073,1.168348,2010,1
M,0.75,4,0,15,4,0.6173666,0.5198069,2011,1
M,0.5,2,0,10,2,NA,1.016508,2006,1
F,0.5,2,0,11,2,NA,0.4487732,2007,0
F,1,4,0,13,4,1.913536,3.365845,2009,1
M,1,3,0,13,3,2.018001,NA,2009,1
F,1,3,0,13,3,1.17567,1.610002,2009,1
M,1,2,0,17,3,3.362309,NA,2000,1
M,1,2,0,22,5,3.362309,NA,2005,1
M,1,2,0,27,6,3.362309,0.8623088,2010,1
F,1,3,0,13,3,NA,0.5673144,2007,1
F,0.833333333,6,0,17,6,2.724748,1.457124,2011,1
F,1,2,0,10,2,NA,NA,2004,1
F,0.5,2,0,15,3,1.880613,NA,2009,1
F,1,1,0,17,3,1.880613,0.6847249,2011,1
M,1,3,0,16,3,0.8263576,1.116921,2010,1
F,0.8,5,0,16,5,3.109796,4.109796,2010,1
M,1,3,0,16,3,0.9135356,-0.1490362,2010,1
F,1,1,0,13,2,0.69982,NA,2007,1
F,1,3,0,17,4,0.69982,2.298154,2011,1
F,0.5,2,0,11,2,NA,1.811469,2005,0
F,0.5,6,0,16,6,0.441508,1.470046,2010,1
F,0,1,0,10,2,1.519807,NA,2004,0
F,1,3,0,14,4,1.519807,1.348163,2008,1
M,1,2,0,17,2,0.5713599,1.519807,2011,1
M,1,3,0,17,4,0.5673144,NA,2011,1
F,0,1,0,11,2,NA,NA,2005,0
F,1,2,0,13,3,NA,1.404814,2007,1
F,1,3,0,16,4,1.717934,NA,2010,1
M,1,3,0,16,3,0.4930243,0.8623088,2010,1
F,1,4,0,17,4,1.519807,1.798154,2011,1
F,0.8,5,0,16,5,1.559293,0.290092,2010,1
M,1,3,0,17,3,1.623425,1.453766,2011,1
M,0.666666667,3,0,17,3,0.1097958,NA,2011,1
F,0.75,4,0,16,4,1.948773,0.9487732,2010,1
M,1,4,0,16,4,3.347735,1.159691,2010,1
M,1,2,0,17,2,2.003159,0.2131707,2011,1
M,1,4,0,16,4,3.296936,NA,2010,1
NA,0,2,0,10,2,NA,1.610002,2004,0
M,1,3,0,17,3,0.7259445,3.5844,2011,1
F,0.5,2,0,10,2,NA,NA,2004,1
M,1,1,1,14,2,NA,NA,2008,1
M,1,1,1,14,2,1.681068,1.699178,2008,1
M,1,2,0,16,3,1.681068,1.115781,2010,1
M,1,1,0,12,2,NA,NA,2006,1
M,1,3,0,16,4,NA,4.519807,2010,1
M,1,2,1,17,3,0.1097958,3.000362,2011,1
F,0.5,2,0,12,2,NA,0.5,2006,1
M,0.4,5,0,16,6,0.1097958,2.109796,2010,1
M,0.5,2,0,13,2,NA,NA,2007,1
F,1,4,0,14,4,NA,3.362309,2008,1
F,1,5,0,17,5,0.8177387,NA,2011,1
F,0.25,4,0,14,4,NA,NA,2008,1
F,1,3,0,12,3,NA,NA,2006,1
M,1,4,0,17,4,0.4025061,2.49566,2011,1
F,0.5,2,0,11,2,NA,0.788892,2005,1
M,1,1,0,14,2,3.085618,NA,2008,1
M,0,2,0,15,3,3.085618,0.9135356,2009,0
M,0,1,0,13,2,1.684725,NA,2007,0
M,1,2,0,15,3,1.684725,0.5198069,2009,1
M,1,4,0,15,4,1.113779,3.684725,2009,1
M,1,3,0,15,3,2.4085,1.136944,2009,1
F,1,3,0,17,3,3.402506,2.899439,2011,1
M,0.666666667,3,0,16,3,1.880613,2.948773,2010,1
M,1,1,0,13,2,NA,NA,2007,1
M,0.5,2,0,15,3,NA,0.8626149,2009,1
M,0.25,4,0,16,4,0.1097958,2.298154,2010,1
M,1,2,0,17,3,3.503159,NA,2011,1
F,0.5,4,0,14,5,NA,NA,2008,0
F,1,2,0,16,6,NA,2.821046,2010,1
F,1,3,1,13,4,1.585466,1.948773,2007,1
F,0.666666667,3,0,16,6,1.585466,2.470046,2010,1
M,1,3,0,16,3,0.347735,1.876094,2010,1
F,1,4,0,15,4,3.684725,1.113779,2009,1
F,0.333333333,3,0,9,3,NA,0.5198069,2000,1
M,0.5,2,0,16,3,2.442671,NA,2011,1
M,1,4,0,16,4,2.673177,2.725945,2011,1
F,1,3,0,15,3,2.290092,4.519807,2010,1
M,1,4,0,15,4,0.2632786,0.4502542,2010,1
F,1,5,0,15,5,1.32351,0.1097958,2010,1
M,0.666666667,3,0,16,4,1.168348,1.699178,2011,1
M,1,4,0,16,4,2.757511,1.867799,2011,1
F,1,4,0,16,4,2.49566,0.4025061,2011,1
M,0.666666667,3,0,16,3,1.629695,NA,2011,0
M,1,3,0,15,3,1.648117,NA,2010,1
M,1,4,0,16,4,0.897859,1.615781,2011,1
M,1,3,0,15,3,3.648117,NA,2010,1
M,1,2,0,14,2,3.362309,2.862309,2009,1
M,0.5,2,0,13,3,1.811469,NA,2008,0
M,1,2,0,15,4,1.811469,3.519807,2010,1
NA,0.5,2,0,9,2,NA,NA,2004,1
M,1,2,0,14,2,2.120932,NA,2010,1
M,0.75,4,0,15,4,0.3994386,3.067314,2011,1
F,0.666666667,6,0,15,6,2.331701,1.831701,2011,1
M,1,4,0,16,4,1.448773,2.450254,2011,1
M,1,1,0,14,2,1.500362,NA,2009,1
M,1,2,0,16,3,1.500362,2.519807,2011,1
F,0.5,4,0,16,4,1.474748,2.115781,2011,0
M,0.333333333,3,0,15,4,4.109796,NA,2010,1
M,1,1,0,13,2,0.4123414,NA,2008,1
M,1,2,0,15,3,0.4123414,1.24566,2010,1
M,0.5,2,0,11,2,NA,NA,2006,0
F,1,2,0,12,2,1.684725,1.519807,2007,1
M,0.8,5,0,15,5,0.290092,1.559293,2010,1
M,0.666666667,3,0,16,3,1.116921,0.7910796,2011,0
F,0.75,4,0,14,4,2.848163,2.848163,2011,1
F,0.75,4,0,12,4,NA,2.5,2009,1
F,1,2,0,12,2,NA,2.120932,2009,1
F,1,3,0,13,3,2.147859,1.513279,2010,1
M,1,1,0,14,2,0.9567587,NA,2011,1
M,0.5,2,0,14,2,1.648117,1.975121,2011,0
M,1,1,1,12,2,0.6481172,NA,2009,1
M,1,2,0,14,3,0.6481172,2.546936,2011,1
F,1,2,0,14,2,3.519807,1.630958,2011,1
M,1,3,0,13,3,0.347735,3.147859,2010,1
F,1,3,0,13,3,0.9487732,1.826358,2010,1
F,1,1,0,12,2,0.8225492,NA,2009,1
F,1,2,0,14,3,0.8225492,3.144375,2011,1
M,0.333333333,3,0,14,3,1.826358,3.116921,2011,0
M,0.75,4,0,14,4,2.848163,2.848163,2011,1
F,1,2,0,13,2,NA,1.648117,2010,1
F,1,3,0,13,3,NA,3.648117,2010,1
F,0.666666667,3,0,14,3,NA,1.629695,2011,0
M,1,2,0,13,2,0.8210461,NA,2010,1
F,0.75,4,0,14,4,0.9700464,2.383992,2011,1
M,0.5,2,0,12,2,0.6847249,1.010073,2009,1
M,0.5,2,0,13,2,0.8210461,1.684725,2010,1
M,1,2,0,13,2,2.109796,0.6110794,2010,1
F,0.75,4,0,13,4,1.290092,0.1097958,2010,1
F,0.666666667,3,0,14,3,0.7910796,1.116921,2011,0
F,0.666666667,3,0,12,3,NA,2.552097,2009,1
F,0.75,4,0,14,4,0.8493804,3.308484,2011,1
M,1,2,0,13,2,2.014402,3.014402,2010,1
F,0.666666667,3,0,13,3,1.340168,3.372246,2010,1
M,0,2,0,13,3,1.681068,NA,2010,0
F,0.5,4,0,13,4,1.347735,0.2259662,2010,1
M,0.333333333,3,0,14,3,2.118481,1.826331,2011,0
F,1,3,0,14,3,0.5353644,1.322549,2011,1
M,0,1,0,14,2,0.5198069,NA,2011,0
M,0.5,4,0,14,4,0.1926708,1.798154,2011,0
F,1,3,1,14,4,0.6204323,2.212249,2011,1
M,1,1,1,12,2,0.5856182,3.038892,2009,1
M,1,2,0,14,3,0.5856182,3.684725,2011,1
M,1,2,0,13,2,0.8533622,1.490959,2010,1
F,0.75,4,0,13,4,0.6157814,NA,2010,1
M,1,2,0,13,2,0.9487732,0.4781361,2010,1
M,0.75,4,0,14,4,0.7100663,1.153274,2011,1
M,0.666666667,3,0,14,3,0.1169208,1.365781,2011,0
F,1,3,0,13,3,1.014402,0.2904716,2010,1
M,1,4,0,14,4,0.9175876,2.055522,2011,1
F,0.75,4,0,14,4,1.153274,0.7100663,2011,1
M,1,2,0,21,3,NA,NA,1990,1
M,0.727272727,11,0,40,13,NA,3.109796,2009,0
M,0,1,1,12,2,1.602304,1.487665,2010,0
F,0.666666667,3,0,13,3,0.5198069,0.5198069,2011,1
F,1,3,0,12,3,1.994645,0.1157814,2010,1
F,1,2,0,11,2,NA,-0.05122678,2009,1
M,1,2,1,12,3,1.490959,0.8533622,2010,1
F,0.5,4,0,13,4,1.798154,0.1926708,2011,0
M,0.666666667,3,0,13,3,1.056088,2.675052,2011,1
F,0.75,4,0,13,4,2.816103,1.575248,2011,1
M,0.666666667,3,0,13,4,2.552097,NA,2011,1
M,1,2,0,13,2,2.053362,3.426762,2011,1
F,1,2,0,13,2,3.426762,2.053362,2011,1
F,0,2,0,10,2,NA,1.681068,2008,0
F,0.666666667,3,0,12,3,2.948773,1.880613,2010,1
F,0.75,4,0,13,4,3.308484,0.8493804,2011,1
F,0.666666667,3,0,13,3,1.030794,0.9084386,2011,1
M,1,2,0,13,2,2.484405,4.003159,2011,1
M,0,1,1,11,2,1.114251,1.470046,2009,0
M,0,1,0,12,2,1.114251,3.280425,2010,0
M,1,2,0,13,2,2.085618,0.5856182,2011,1
M,0.666666667,3,0,13,3,3.217934,2.484405,2011,1
M,0.666666667,3,0,13,3,2.822549,2.290092,2011,1
M,1,2,0,13,2,3.093429,1.925052,2011,1
M,0.666666667,3,0,13,3,2.098163,3.426762,2011,1
M,0.5,2,0,13,2,3.519807,3.519807,2011,1
F,1,2,0,12,2,3.413536,NA,2010,1
F,0.333333333,3,0,13,3,3.116921,1.826358,2011,0
M,1,2,0,12,2,2.788892,1.948773,2010,1
M,0.5,4,0,13,4,3.287948,1.5,2011,0
F,1,2,0,12,2,1.115781,1.681068,2010,1
M,1,2,0,11,2,2.109796,2.862309,2009,1
M,0.5,2,0,13,2,1.110652,3.250362,2011,0
M,0.5,2,0,13,2,2.774074,1.115781,2011,0
M,1,2,0,11,2,2.684725,0.8921932,2009,1
M,0.5,2,0,13,2,2.233231,0.6148065,2011,1
M,0.5,2,0,13,2,2.541484,1.979198,2011,0
F,1,2,0,13,2,3.34938,3.368348,2011,1
F,1,3,0,12,3,3.463582,3.109796,2010,1
M,1,3,0,12,3,0.2131707,0.1097958,2010,1
M,0.333333333,3,0,13,3,1.076617,NA,2011,0
M,1,2,0,12,2,1.212249,NA,2010,1
M,0.75,4,0,13,4,3.761093,3.684725,2011,1
F,0.75,4,0,13,4,3.684725,3.761093,2011,1
M,1,1,1,11,2,3.368348,2.97567,2009,1
M,1,2,0,13,3,3.368348,3.34938,2011,1
M,1,3,0,12,3,3.109796,3.463582,2010,1
F,0.333333333,3,0,12,3,NA,1.076617,2010,0
F,1,2,0,13,2,NA,3.050659,2011,1
F,0.4,5,0,20,6,NA,NA,2002,0
F,0.5,2,0,24,8,NA,NA,2006,1
F,0.666666667,4,0,29,11,NA,0.8781568,2011,NA
M,0.625,8,1,27,9,NA,NA,2004,1
M,1,2,0,34,10,NA,NA,2011,1
F,0.666666667,3,0,18,4,NA,NA,1991,0
F,0.625,8,0,37,12,NA,NA,2010,1
M,1,1,0,16,2,NA,NA,1999,1
M,0.5,4,0,21,5,NA,NA,2004,0
F,0.8,10,0,30,10,3.684725,2.291591,2009,1
M,0.5,2,1,17,3,NA,3.109796,1996,1
M,0.75,4,0,22,6,NA,0.5198069,2001,0
F,1,5,0,27,6,1.653779,NA,2007,1
F,1,3,0,31,8,1.653779,3.519807,2011,1
F,0.5,4,0,14,5,1.24566,NA,2008,1
F,1,2,0,17,6,1.24566,0.4123414,2011,1
F,0.583333333,12,0,27,12,NA,NA,2003,0
F,0.769230769,13,0,31,13,3.093148,0.1097958,2010,1
F,1,2,0,10,2,NA,2.024074,2003,1
F,0.875,8,0,26,8,NA,NA,2004,1
M,0.5,2,0,11,2,2.152979,3.147489,2010,1
M,1,1,0,12,2,0.7381471,1.404814,2011,1
M,0.666666667,3,0,12,3,2.315364,1.093429,2011,1
M,0.5,2,0,12,2,0.9868966,2.359329,2011,1
F,1,2,0,12,2,1.853362,1.348163,2011,1
F,0.666666667,3,0,12,3,1.093429,2.315364,2011,1
F,1,3,0,12,3,1.725945,1.690668,2011,1
F,1,2,0,11,2,0.288892,0.2904716,2010,1
F,1,1,0,12,2,2.905385,0.5198069,2011,1
F,0,1,0,11,2,2.014402,NA,2010,0
F,1,3,0,13,3,1.867799,2.757511,2009,1
M,0,2,0,11,2,NA,1.190668,2007,0
F,1,4,0,15,4,1.615781,0.897859,2011,1
M,1,2,0,14,2,NA,3.413536,2010,1
F,0,1,1,13,2,NA,3.109796,2009,0
F,0.4,5,0,14,5,2.109796,0.1097958,2010,1
M,1,3,0,14,3,1.826358,0.9487732,2010,1
M,1,1,0,13,2,3.144375,NA,2009,1
M,1,2,0,15,3,3.144375,0.8225492,2011,1
F,1,2,1,15,3,2.862309,3.362309,2011,1
M,0.333333333,3,0,14,3,2.821046,NA,2010,0
F,0.333333333,3,0,14,3,NA,2.821046,2010,0
M,0.666666667,3,0,15,3,2.798154,1.49566,2011,1
M,0.5,2,0,13,3,3.050659,NA,2009,1
M,1,2,0,15,4,3.050659,NA,2011,1
M,0.692307692,13,0,32,13,1.256826,0.4502542,2010,1
M,0.75,4,0,20,5,NA,NA,1998,1
F,1,2,0,13,2,2.014402,1.027204,2010,1
F,0.666666667,3,0,14,3,1.046927,0.1919811,2010,1
M,0.75,4,0,14,4,NA,0.6157814,2010,1
F,0.666666667,3,0,14,3,1.224748,-0.005355197,2010,1
F,1,3,0,14,3,0.8623088,0.4930243,2010,1
M,1,3,0,15,3,1.690668,1.725945,2011,1
M,0.666666667,3,0,14,3,3.372246,1.340168,2010,1
M,1,2,0,15,2,1.897429,2.397859,2011,1
F,1,3,0,14,3,0.8263576,2.724748,2010,1
F,0.8,5,0,15,5,3.273853,0.4025061,2011,1
M,0.75,4,0,15,4,1.575248,2.816103,2011,1
M,1,2,1,14,3,1.255941,0.444433,2010,1
F,1,4,0,14,4,2.450254,1.448773,2010,1
M,1,1,0,12,2,1.865781,NA,2008,1
M,1,2,0,14,3,1.865781,-0.05122678,2010,1
M,1,3,0,14,3,2.724748,0.8263576,2010,1
M,1,1,1,14,2,0.5465041,NA,1995,1
M,1,1,0,17,3,0.5465041,NA,1998,1
M,1,1,0,20,4,0.5465041,NA,2001,1
M,1,6,0,30,9,0.5465041,0.5198069,2011,1
M,0.8,5,0,26,5,NA,0.5414841,2006,1
F,1,2,0,12,2,0.5856182,2.085618,2011,1
F,0.5,2,0,12,2,3.109796,NA,2011,1
M,0.5,6,0,20,7,NA,NA,2003,0
M,0,1,0,24,7,NA,NA,2007,0
F,1,1,1,11,2,1.347735,3.212249,2010,1
F,0.666666667,3,0,12,3,1.49566,2.798154,2011,1
F,0.5,4,0,12,4,1.5,3.287948,2011,0
F,1,2,0,11,2,2.872246,1.948773,2010,1
F,1,2,0,13,2,2.005187,3.159691,2010,1
M,0,2,0,14,2,1.425052,2.193842,2011,0
F,1,3,0,13,3,0.1097958,0.2131707,2010,1
F,1,3,1,13,4,1.948773,1.681068,2010,1
F,1,3,0,13,3,1.876094,0.347735,2010,1
F,0.75,4,0,14,4,3.067314,0.3994386,2011,1
F,0.5,4,0,14,4,0.6847249,3.129668,2011,1
M,0.333333333,3,0,16,4,1.212249,NA,1997,0
M,0,1,1,17,5,1.212249,NA,1998,0
M,0.5,2,0,22,7,1.212249,NA,2003,1
M,1,3,0,30,9,1.212249,2.067314,2011,1
F,0.5,2,0,14,3,NA,NA,1999,0
F,1,2,0,16,4,NA,0.4781361,2001,1
M,0.8,10,0,27,10,NA,0.8623088,2003,1
F,0.5,2,0,10,2,1.010073,0.6847249,2009,1
F,0.666666667,3,0,12,3,2.484405,3.217934,2011,1
F,0.666666667,3,0,12,3,2.290092,2.822549,2011,1
M,1,2,0,12,2,2.956759,1.572549,2011,1
F,0.5,2,0,12,2,1.975121,1.648117,2011,0
F,1,2,0,12,2,1.572549,2.956759,2011,1
F,0.666666667,3,0,14,3,1.130843,0.768348,2011,1
M,0.666666667,3,0,14,3,0.768348,1.130843,2011,1
F,1,3,0,13,3,1.115781,2.024074,2010,1
M,1,2,0,14,2,3.684725,3.085618,2011,1
M,0.5,2,0,13,2,NA,3.109796,2010,1
M,1,2,0,12,2,1.098163,1.31361,2011,1
M,0.333333333,3,1,15,4,NA,2.193842,1997,1
M,1,1,1,17,5,NA,1.448773,1999,1
F,0.666666667,3,0,12,3,3.426762,2.098163,2011,1
NA,1,2,0,15,2,2.426762,0.7187638,2011,1
M,0.666666667,3,0,15,3,2.519807,0.6351887,2011,1
F,0.333333333,3,0,11,3,NA,4.109796,2007,1
F,0.666666667,3,0,15,3,0.6351887,2.519807,2011,1
F,1,1,1,10,2,3.585618,2.790472,2009,1
F,0,3,0,12,4,3.585618,0.9662814,2011,0
F,1,1,1,12,2,2.144375,3.322549,2011,1
F,1,1,1,10,2,2.97567,3.368348,2009,1
F,1,2,0,12,3,2.97567,1.777924,2011,1
F,1,5,0,20,5,2.350964,0.1789539,2010,1
M,0.888888889,9,0,28,9,1.653779,2.76995,2011,1
M,1,11,0,33,12,3.585618,3.684725,2011,1
M,1,5,0,29,5,NA,NA,2001,1
F,0.75,4,0,20,5,3.250362,NA,2000,1
F,0.5,2,0,22,7,3.250362,NA,2002,0
F,1,1,1,24,8,3.250362,1.922607,2004,1
F,1,1,1,25,9,3.250362,NA,2005,1
F,0,1,1,26,10,3.250362,NA,2006,0
F,1,1,1,29,11,3.250362,NA,2009,1
F,0.5,2,0,31,12,3.250362,1.110652,2011,0
F,1,6,0,30,7,0.6234254,NA,2006,1
F,0.5,4,0,34,10,0.6234254,1.237665,2010,1
F,0.916666667,12,0,31,12,3.250362,0.3272511,2011,1
